id,date,hours,approved,worker_name,job_code,job_description,activity,trade_category
57,2025-04-01,2.0,False,Worker One,PLB-003,Hospital Plumbing Upgrade,Fixture Mounting,plumbing
59,2025-04-02,4.0,True,Worker One,1047,Yesler 9,Sanding,drywall
58,2025-04-02,6.0,True,Worker One,1047,Yesler 9,Sanding,drywall
119,2025-04-07,8.0,True,Worker One,ELEC-002,Residential Rewiring,Hanging Drywall,drywall
114,2025-04-08,3.5,False,Worker One,4725-1,Mike Bathroom Remodel,Hanging Drywall,drywall
120,2025-04-08,8.0,True,Worker One,ELEC-002,Residential Rewiring,Hanging Drywall,drywall
122,2025-04-09,2.5,False,Worker One,1047,Yesler 9,Hanging Drywall,drywall
115,2025-04-11,8.0,True,Worker One,ELEC-002,Residential Rewiring,Wiring Installation,electrical
109,2025-04-13,8.0,True,Worker One,ELEC-002,Residential Rewiring,Wiring Installation,electrical
108,2025-04-13,8.0,False,Worker One,DRY-001,Commercial Office Drywall,Hanging Drywall,drywall
110,2025-04-14,8.0,False,Worker One,ELEC-002,Residential Rewiring,Wiring Installation,electrical
98,2025-04-12,4.91,False,Worker Two,4725-1,Mike Bathroom Remodel,Fixture Mounting,plumbing
97,2025-04-12,0.21,False,Worker Two,1047,Yesler 9,Hanging Drywall,drywall
103,2025-04-13,0.08,False,Worker Two,1047,Yesler 9,Hanging Drywall,drywall
99,2025-04-13,0.0,False,Worker Two,1047,Yesler 9,Hanging Drywall,drywall
107,2025-04-13,0.01,False,Worker Two,DRY-001,Commercial Office Drywall,Hanging Drywall,drywall
105,2025-04-13,0.66,False,Worker Two,DRY-001,Commercial Office Drywall,Hanging Drywall,drywall
104,2025-04-13,0.03,False,Worker Two,ELEC-002,Residential Rewiring,Hanging Drywall,drywall
102,2025-04-13,0.0,False,Worker Two,ELEC-002,Residential Rewiring,Hanging Drywall,drywall
101,2025-04-13,0.0,False,Worker Two,ELEC-002,Residential Rewiring,Hanging Drywall,drywall
106,2025-04-13,0.0,False,Worker Two,ELEC-002,Residential Rewiring,Hanging Drywall,drywall
100,2025-04-13,0.0,False,Worker Two,ELEC-002,Residential Rewiring,Hanging Drywall,drywall
118,2025-04-14,10.55,False,Worker Two,1047,Yesler 9,Hanging Drywall,drywall
124,2025-04-18,74.12,False,Worker Two,4423,Seattle Public Library,Hanging Drywall,drywall
123,2025-04-18,0.0,False,Worker Two,4423,Seattle Public Library,Hanging Drywall,drywall
125,2025-04-21,0.0,False,Worker Two,4725-1,Mike Bathroom Remodel,Hanging Drywall,drywall
127,2025-04-21,0.05,False,Worker Two,4725-1,Mike Bathroom Remodel,Hanging Drywall,drywall
126,2025-04-21,0.03,False,Worker Two,4725-1,Mike Bathroom Remodel,Hanging Drywall,drywall
129,2025-04-22,0.02,False,Worker Two,4423,Seattle Public Library,Hanging Drywall,drywall
128,2025-04-22,0.15,False,Worker Two,4423,Seattle Public Library,Hanging Drywall,drywall
131,2025-04-22,0.0,False,Worker Two,4423,Seattle Public Library,Hanging Drywall,drywall
130,2025-04-22,0.04,False,Worker Two,4423,Seattle Public Library,Hanging Drywall,drywall
132,2025-04-23,0.1,False,Worker Two,4423,Seattle Public Library,Hanging Drywall,drywall
43,2025-04-01,4.5,True,Worker User,1047,Yesler 9,Sanding,drywall
44,2025-04-01,3.0,False,Worker User,1047,Yesler 9,Sanding,drywall
45,2025-04-02,3.5,False,Worker User,PLB-003,Hospital Plumbing Upgrade,Fixture Mounting,plumbing
90,2025-04-07,8.0,False,Worker User,4725-1,Mike Bathroom Remodel,Hanging Drywall,drywall
91,2025-04-08,8.0,False,Worker User,4725-1,Mike Bathroom Remodel,Hanging Drywall,drywall
